FECHA,PRECIP,EVAP,TMAX,TMIN
1/11/68,0,3.1,30,21
2/11/68,0,5.2,31,23.5
3/11/68,0,5.3,31.5,21.5
4/11/68,0,5.1,29,24
5/11/68,0,2.7,31,23
6/11/68,0,3.9,30,23.5
7/11/68,0,4.7,32.5,24
8/11/68,0,3.1,31,24.5
9/11/68,0,5.1,31.5,25
10/11/68,0,3.5,30,21
11/11/68,0,6.6,29,19.5
12/11/68,0,5.1,29.5,18.5
13/11/1968,0,6.1,29,19
14/11/1968,0,5.3,27,20.5
15/11/1968,0,5.7,27,24
16/11/1968,0,4.2,28,23
17/11/1968,0,7.3,30,22
18/11/1968,0,5.4,26,22
19/11/1968,2,6.5,32,20
20/11/1968,0,5.2,33,23
21/11/1968,0,4.1,29,22
22/11/1968,0,3.2,30,22
23/11/1968,6.7,3.3,31,23
24/11/1968,1,3.9,30,22
25/11/1968,3,3.8,27,25
26/11/1968,0,6.1,26.5,20.5
27/11/1968,0,7.1,28,21
28/11/1968,0,3.4,28,19.5
29/11/1968,0,4.7,27,18.5
30/11/1968,0,2.2,29,20
1/3/69,4,NA,29.5,22.5
2/3/69,9.2,NA,27.5,21
3/3/69,0,NA,28,23.5
4/3/69,0,NA,25,21
5/3/69,0,NA,26.5,20
6/3/69,0,NA,27.5,22
7/3/69,3.6,NA,29,22.5
8/3/69,0,NA,29.5,21.5
9/3/69,0,NA,30,23
10/3/69,0,NA,25.5,22
11/3/69,0,NA,25.5,22.5
12/3/69,0,NA,28.5,21
13/03/1969,0,NA,27.5,21.5
14/03/1969,0,NA,28,20.5
15/03/1969,0,NA,28.5,20
16/03/1969,0,NA,31,26
17/03/1969,0,NA,30.5,25
18/03/1969,0,NA,29.5,24
19/03/1969,3,NA,30.5,22
20/03/1969,0,NA,27.5,21
21/03/1969,0,NA,29,24
22/03/1969,0,NA,29.5,22.5
23/03/1969,0,NA,30.5,24.5
24/03/1969,0,NA,29,24.5
25/03/1969,0,NA,29.5,25
26/03/1969,20.5,NA,25,22
27/03/1969,1,NA,24.5,20
28/03/1969,2,NA,26,20.5
29/03/1969,1.5,NA,28,22
30/03/1969,2.5,NA,28.5,25.5
31/03/1969,2,NA,27.5,25
1/4/69,0,3.1,28,21.5
2/4/69,0,4.9,28,22
3/4/69,0,5.1,28,23
4/4/69,0,2.1,30,24
5/4/69,0,6.1,29,24
6/4/69,0,3.9,31,26
7/4/69,0,2,31.5,26
8/4/69,0,4,31,25.5
9/4/69,20,4.3,32,24.5
10/4/69,0,4,33,25.5
11/4/69,0,4.3,31,26
12/4/69,0,6.5,31.5,26
13/04/1969,0,5.8,31.5,25.5
14/04/1969,0,5,32,25
15/04/1969,0,5.2,31.5,26
16/04/1969,0,5.1,31.5,26
17/04/1969,0,5.3,31,25
18/04/1969,0,4.9,33,26.5
19/04/1969,0,3.1,33,26
20/04/1969,0,5.6,33.5,26
21/04/1969,0,4.9,31.5,25.5
22/04/1969,36.5,5.2,29,24.5
23/04/1969,13.5,4.7,28.5,24
24/04/1969,6,3.1,29,23
25/04/1969,0,4.1,30.5,23
